Código,Descripción,URL Imagen,URL Producto,,Precio,Vista
152510707,Escobillón Marsella XPER,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobillones hogar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/photo_055-3376d25c5d93652e0317864970678972-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escobillon-marsella-xper/,100,2
152510716,Escoba FIGARO XPER,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobas,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/34-escoba-figaro-xper-b906cecc755bd0d98d17860394182380-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escoba-figaro-xper/,100,0
152510716,Escoba FIGARO XPER,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobas,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/product_photo_011-7d93b43dc8b8d97f9317864971095277-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escoba-figaro-xper/,100,1
152510717,Escoba CELESTA XPER,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobas,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/35-escoba-celesta-xper-a775a5882ff4eaa1d217860393488912-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escoba-celesta-xper/,100,0
152510717,Escoba CELESTA XPER,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobas,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/product_172-57531cd4b5c85cae9417864971663581-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escoba-celesta-xper/,100,1
152510717,Escoba CELESTA XPER,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobas,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/photo_058-a648cfe421966ac46317864971460950-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escoba-celesta-xper/,100,2
152510718,Escoba EURO XPER,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobas,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/product_152-4d765730ce4308713217864972059532-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escoba-euro-xper/,100,0
152510718,Escoba EURO XPER,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobas,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/36-escoba-euro-xper-0117c2797cb989457817860393700374-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escoba-euro-xper/,100,1
152510718,Escoba EURO XPER,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobas,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/product_173-1a82509510e222f93317864972013134-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escoba-euro-xper/,100,2
152510052,Escobillón Laura SAMANTHA,CEPILLOS ESCOBAS Y ESCOBILLONES > Escobillones hogar,https://dcdn-us.mitiendanube.com/stores/001/405/077/products/product_129-393bc087f4ad92825c17864972668836-1024-1024.webp,https://www.msanchezycia.com.ar/productos/escobillon-laura-samantha/,100,0
